North East Lincolnshire,1
Pembrokeshire,31
Oxfordshire,240
Rotherham,45
Sandwell,74
Shropshire,70
Solihull,86
South Gloucestershire,56
Stoke,50
Swansea,23
Torfaen,23
Wiltshire,113
Wolverhampton,39
Worcestershire,248
